DrugName,ActiveIngredient,PageNumber,Category,Is_Prescription
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid,False
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1,False
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,False
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol),False
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kunrolac,Ketorolac,867,Chưa phân loại,False
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,False
Kupcolkin,Colchicin,461,Chống bệnh gút,False
Kupdina,Danazol,486,Androgen,False
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kupitral,Itraconazol,849,Chống nấm,False
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,False
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid,False
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa",False
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư,False
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon,True
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun,False
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,False
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta,False
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Laborat,Risperidon,1249,Thuốc chống loạn thần,False
