DrugName,ActiveIngredient,PageNumber,Category,Is_Prescription
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid,True
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1,True
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,True
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol),True
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh,True
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kunrolac,Ketorolac,867,Chưa phân loại,False
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,True
Kupcolkin,Colchicin,461,Chống bệnh gút,False
Kupdina,Danazol,486,Androgen,False
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Kupitral,Itraconazol,849,Chống nấm,False
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid,True
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid,True
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa",True
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư,True
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon,True
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun,False
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,True
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",True
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,True
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,True
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3,True
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
