DrugName,ActiveIngredient,PageNumber,Category
Kukjekemocin,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kukjekemocin Dry Syrup,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kukjemefen,Meloxicam,940,Thuốc chống viêm không steroid
Kukjetrilcef,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1
Kukjetrona,Tobramycin,1392,Kháng sinh nhóm aminoglycosid
Kuktrim,Spectinomycin,1298,Kháng sinh (aminocyclitol)
Kuniclav,Amoxicilin và kali clavulanat,192,Kháng sinh
Kunoxy Plus,Ofloxacin,1076,Kháng sinh nhóm quinolon
Kunrolac,Ketorolac,867,Chưa phân loại
Kupcefin For Inj,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Kupcolkin,Colchicin,461,Chống bệnh gút
Kupdina,Danazol,486,Androgen
Kupfloxanal,Ofloxacin,1076,Kháng sinh nhóm quinolon
Kupitral,Itraconazol,849,Chống nấm
Kuplinko,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Kupramickin,Amikacin,176,Kháng sinh họ aminoglycosid
Kuptoral,Fluorouracil,682,"Thuốc chống ung thư, loại chống chuyển hóa"
Kuptrisone,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Kupuniclor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kupunistin,Cisplatin,400,Thuốc hóa trị liệu chống ung thư
Kutab 10,Olanzapin,1077,Kháng sinh nhóm quinolon
Kwang Myung Piracetam,Piracetam,1159,Thuốc trị giun
Kwangmyungcefix,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Kydheamo,1B - Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ)
Kyongbo Cefaclor Cap.,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Kyongbo Cefuroxime Inj.,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Kyseroxin,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
K-Zidime Injection,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Labapraz,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Labetalol hydrochloride,Labetalol hydroclorid,872,Thuốc chống tăng huyết áp; thuốc ức chế thụ thể beta
Labomin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Laborat,Risperidon,1249,Thuốc chống loạn thần
Laboya,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Lacbio Pro,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Lacepril,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lacepril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Laclomez,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Lacovir,Aciclovir,114,Thuốc chống virus
Lactat Ringer & Glucose,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactate Ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated ringer,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated Ringer’ s injection,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated ringer’s and dextrose,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247,Dịch truyền tĩnh mạch
Lacticare-HC,Hydrocortison,779,"Glucocorticosteroid, corticosteroid"
Lactoluse Cap,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Lactosorbit,Sorbitol,1294,Thuốc nhuận tràng thẩm thấu
Lactulose Stada,Lactulose,875,Vi khuẩn sinh acid lactic
Ladexnin,Desloratadin,497,Thuốc diệt ký sinh trùng đơn bào
Ladinex,Lamivudin,876,Thuốc kháng retrovirus và virus
Ladivir,Lamivudin,876,Thuốc kháng retrovirus và virus
Ladolugel,Nhôm phosphat,1048,Kháng acid
Laevolac,Lactulose,875,Vi khuẩn sinh acid lactic
Lafoncef,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Lafusidex,Acid fusidic,129,"Vitamin nhóm b, chất dinh dưỡng"
Lamicetam,Piracetam,1159,Thuốc trị giun
Lamidac 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamiffix 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamijas,Lamivudin,876,Thuốc kháng retrovirus và virus
Laminova 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamisil Dermgel,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamisil once,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lamitick,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivase,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100 Glomed,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 100 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 150,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin 150 ICA,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Boston 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin-Domesco,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Hasan 100,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudin Stada,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudine,Lamivudin,876,Thuốc kháng retrovirus và virus
Lamivudine 150-SPM,Lamivudin,876,Thuốc kháng retrovirus và virus
