DrugName,ActiveIngredient,PageNumber
Kukjekemocin,Cefaclor,329
Kukjekemocin Dry Syrup,Cefaclor,329
Kukjemefen,Meloxicam,940
Kukjetrilcef,Cefradin,366
Kukjetrona,Tobramycin,1392
Kuktrim,Spectinomycin,1298
Kuniclav,Amoxicilin và kali clavulanat,192
Kunoxy Plus,Ofloxacin,1076
Kunrolac,Ketorolac,867
Kupcefin For Inj,Ceftriaxon,371
Kupcolkin,Colchicin,461
Kupdina,Danazol,486
Kupfloxanal,Ofloxacin,1076
Kupitral,Itraconazol,849
Kuplinko,Lincomycin hydroclorid,905
Kupramickin,Amikacin,176
Kuptoral,Fluorouracil,682
Kuptrisone,Terbinafin hydroclorid,1340
Kupuniclor,Cefaclor,329
Kupunistin,Cisplatin,400
Kutab 10,Olanzapin,1077
Kwang Myung Piracetam,Piracetam,1159
Kwangmyungcefix,Cefixim,351
Kydheamo,1B - Natri bicarbonat,1027
Kyongbo Cefaclor Cap.,Cefaclor,329
Kyongbo Cefuroxime Inj.,Cefuroxim,375
Kyseroxin,Cefuroxim,375
K-Zidime Injection,Ceftazidim,368
Labapraz,Lansoprazol,879
Labetalol hydrochloride,Labetalol hydroclorid,872
Labomin,Levofloxacin,890
Laborat,Risperidon,1249
Laboya,Meropenem,950
Lacbio Pro,Lactobacillus acidophilus,874
Lacepril,Lisinopril,910
Lacepril 5,Lisinopril,910
Laclomez,Clarithromycin,404
Lacovir,Aciclovir,114
Lactat Ringer & Glucose,Ringer lactat,1247
Lactate Ringer,Ringer lactat,1247
Lactated ringer,Ringer lactat,1247
Lactated Ringer’ s injection,Ringer lactat,1247
Lactated ringer’s and dextrose,Ringer lactat,1247
Lactated Ringer’s Injection “Sintong”,Ringer lactat,1247
Lacticare-HC,Hydrocortison,779
Lactoluse Cap,Lactobacillus acidophilus,874
Lactosorbit,Sorbitol,1294
Lactulose Stada,Lactulose,875
Ladexnin,Desloratadin,497
Ladinex,Lamivudin,876
Ladivir,Lamivudin,876
Ladolugel,Nhôm phosphat,1048
Laevolac,Lactulose,875
Lafoncef,Ceftriaxon,371
Lafusidex,Acid fusidic,129
Lamicetam,Piracetam,1159
Lamidac 100,Lamivudin,876
Lamiffix 100,Lamivudin,876
Lamijas,Lamivudin,876
Laminova 100,Lamivudin,876
Lamisil,Terbinafin hydroclorid,1340
Lamisil Dermgel,Terbinafin hydroclorid,1340
Lamisil once,Terbinafin hydroclorid,1340
Lamitick,Lamivudin,876
Lamivase,Lamivudin,876
Lamivudin 100,Lamivudin,876
Lamivudin 100 Glomed,Lamivudin,876
Lamivudin 100 ICA,Lamivudin,876
Lamivudin 150,Lamivudin,876
Lamivudin 150 ICA,Lamivudin,876
Lamivudin Boston 100,Lamivudin,876
Lamivudin-Domesco,Lamivudin,876
Lamivudin Hasan 100,Lamivudin,876
Lamivudin Stada,Lamivudin,876
Lamivudine,Lamivudin,876
Lamivudine 150-SPM,Lamivudin,876
Lamovin,Lamivudin,876
Lamozile-30,Lansoprazol,879
Lamtra,Methylprednisolon,969
Lanacid-30,Lansoprazol,879
Lanazol,Lansoprazol,879
Lanchek-30,Lansoprazol,879
Langamax,Lansoprazol,879
Kukjekemocin,Cefaclor,329
Kukjekemocin Dry Syrup,Cefaclor,329
Kukjemefen,Meloxicam,940
Kukjetrilcef,Cefradin,366
Kukjetrona,Tobramycin,1392
Kuktrim,Spectinomycin,1298
Kuniclav,Amoxicilin và kali clavulanat,192
Kunoxy Plus,Ofloxacin,1076
Kunrolac,Ketorolac,867
Kupcefin For Inj,Ceftriaxon,371
Kupcolkin,Colchicin,461
